"identifiant" "annee_debut" "annee_fin" "statut" "debut" "fin" "age_continu" "delta" "domaine" "age_discret" "cas" "e0d1" "e0d0" "e1d1" "expire_d" "e1d0" "expire_a" "cas_NA"
"47" "AD0239" 1986 1993 "ABD" 31562 34044 6.79444444444444 2.58611111111111 "DCC" 6 "3" 0 0 1 0 0 0 0
"48" "AD0242" 1986 1992 "ABD" 31656 33933 6.23333333333333 2.33333333333333 "DTA" 6 "3" 0 0 1 0 0 0 0
"49" "AD0246" 1986 1992 "ABD" 31700 33933 6.11111111111111 2.21111111111111 "DTA" 6 "3" 0 0 1 0 0 0 0
"50" "AD0255" 1971 1991 "EXP" 26217 33522 20 17.2222222222222 "DTA" 20 "4" 0 0 0 1 0 0 0
"51" "AD0257" 1972 1991 "ABD" 26429 33291 18.7833333333333 16.6416666666667 "DTA" 18 "3" 0 0 1 0 0 0 0
"52" "AD0258" 1974 1994 "EXP" 27228 34533 20 14.4527777777778 "DTA" 20 "4" 0 0 0 1 0 0 0
"53" "AD0259" 1974 1994 "EXP" 27199 34504 20 14.5333333333333 "DTA" 20 "4" 0 0 0 1 0 0 0
"54" "AD0262" 1977 1997 "EXP" 28143 35448 20 11.9527777777778 "DTA" 20 "4" 0 0 0 1 0 0 0
"55" "AD0264" 1977 1997 "EXP" 28180 35485 20 11.8527777777778 "DTA" 20 "4" 0 0 0 1 0 0 0
"56" "AD0265" 1977 1989 "ABD" 28398 32749 11.9138888888889 11.2527777777778 NA 11 "3" 0 0 1 0 0 0 0
"57" "AD0267" 1978 1990 "ABD" 28762 33021 11.6638888888889 10.2555555555556 NA 11 "3" 0 0 1 0 0 0 0
"58" "AD0268" 1978 1998 "EXP" 28737 36042 20 10.325 "DTA" 20 "4" 0 0 0 1 0 0 0
"59" "AD0269" 1980 1990 "ABD" 29264 33165 10.6833333333333 8.88333333333333 NA 10 "3" 0 0 1 0 0 0 0
"60" "AD0270" 1980 1989 "ABD" 29263 32678 9.35277777777778 8.88611111111111 NA 9 "3" 0 0 1 0 0 0 0
"61" "AD0271" 1979 1990 "ABD" 28972 32896 10.7388888888889 9.67777777777778 NA 10 "3" 0 0 1 0 0 0 0
"62" "AD0273" 1980 1991 "ABD" 29355 33268 10.7111111111111 8.63055555555556 "DTA" 10 "3" 0 0 1 0 0 0 0
"63" "AD0274" 1980 1996 "ABD" 29511 35229 15.6555555555556 8.20555555555556 "DTA" 15 "3" 0 0 1 0 0 0 0
"64" "AD0275" 1980 1996 "ABD" 29542 35264 15.6694444444444 8.12222222222222 "DTA" 15 "3" 0 0 1 0 0 0 0
"65" "AD0276" 1981 1992 "ABD" 29669 33969 11.7666666666667 7.76944444444444 NA 11 "3" 0 0 1 0 0 0 0
"66" "AD0277" 1981 1992 "ABD" 29706 33969 11.6666666666667 7.66944444444444 NA 11 "3" 0 0 1 0 0 0 0
"67" "AD0278" 1981 1991 "ABD" 29741 33291 9.71666666666667 7.575 "DTA" 9 "3" 0 0 1 0 0 0 0
"68" "AD0279" 1981 1990 "ABD" 29929 33151 8.82222222222222 7.06111111111111 NA 8 "3" 0 0 1 0 0 0 0
"69" "AD0280" 1982 1989 "ABD" 29992 32672 7.34166666666667 6.89166666666667 NA 7 "3" 0 0 1 0 0 0 0
"70" "AD0282" 1981 1997 "ABD" 29838 35572 15.7027777777778 7.31111111111111 "DTA" 15 "3" 0 0 1 0 0 0 0
"71" "AD0283" 1982 1991 "ABD" 30025 33268 8.875 6.79444444444444 "DTA" 8 "3" 0 0 1 0 0 0 0
"72" "AD0284" 1982 1989 "ABD" 30315 32776 6.73611111111111 6.00277777777778 NA 6 "3" 0 0 1 0 0 0 0
"73" "AD0285" 1982 1990 "ABD" 30204 33021 7.71666666666667 6.30833333333333 NA 7 "3" 0 0 1 0 0 0 0
"74" "AD0286" 1982 1989 "ABD" 30209 32668 6.73333333333333 6.29444444444444 NA 6 "3" 0 0 1 0 0 0 0
"75" "AD0287" 1983 1993 "ABD" 30616 34148 9.66944444444444 5.17777777777778 "DTA" 9 "3" 0 0 1 0 0 0 0
"76" "AD0288" 1983 1990 "ABD" 30355 33165 7.69722222222222 5.89722222222222 NA 7 "3" 0 0 1 0 0 0 0
"77" "AD0289" 1983 1992 "ABD" 30586 33764 8.7 5.26111111111111 "DTA" 8 "3" 0 0 1 0 0 0 0
"78" "AD0290" 1982 NA "ACT" 29970 NA 18.9444444444444 6.95 "DTA" 18 "5" 0 0 0 0 1 0 0
"79" "AD0291" 1982 NA "ACT" 29985 NA 18.9055555555556 6.91111111111111 "DTA" 18 "5" 0 0 0 0 1 0 0
"80" "AD0292" 1982 NA "ACT" 30214 NA 18.275 6.28055555555556 "DTA" 18 "5" 0 0 0 0 1 0 0
"81" "AD0293" 1983 1989 "ABD" 30550 32657 5.76944444444444 5.35833333333333 NA 5 "3" 0 0 1 0 0 0 0
"82" "AD0294" 1983 1992 "ABD" 30609 33800 8.73611111111111 5.19722222222222 "DTA" 8 "3" 0 0 1 0 0 0 0
"83" "AD0295" 1984 1990 "ABD" 30817 32896 5.68888888888889 4.62777777777778 NA 5 "3" 0 0 1 0 0 0 0
"84" "AD0296" 1984 1993 "ABD" 30813 34032 8.81388888888889 4.63888888888889 "DTA" 8 "3" 0 0 1 0 0 0 0
"85" "AD0297" 1984 1990 "ABD" 30813 32896 5.7 4.63888888888889 NA 5 "3" 0 0 1 0 0 0 0
"86" "AD0298" 1984 1993 "ABD" 30813 34032 8.81388888888889 4.63888888888889 "DTA" 8 "3" 0 0 1 0 0 0 0
"87" "AD0299" 1984 1997 "ABD" 30945 35572 12.6722222222222 4.28055555555556 "DTA" 12 "3" 0 0 1 0 0 0 0
"88" "AD0300" 1984 1992 "ABD" 30860 33837 8.15 4.51111111111111 "DTA" 8 "3" 0 0 1 0 0 0 0
"89" "AD0301" 1985 1993 "ABD" 31050 34243 8.74444444444444 3.99444444444444 "DTA" 8 "3" 0 0 1 0 0 0 0
"90" "AD0302" 1985 1990 "ABD" 31219 33072 5.075 3.52777777777778 "DTA" 5 "3" 0 0 1 0 0 0 0
"91" "AD0303" 1985 1990 "ABD" 31216 33151 5.29722222222222 3.53611111111111 NA 5 "3" 0 0 1 0 0 0 0
"92" "AD0304" 1985 1991 "ABD" 31345 33420 5.68333333333333 3.18333333333333 "DTA" 5 "3" 0 0 1 0 0 0 0
"93" "AD0305" 1985 1990 "ABD" 31383 33151 4.84166666666667 3.08055555555556 NA 4 "3" 0 0 1 0 0 0 0
"94" "AD0306" 1986 1997 "ABD" 31737 35628 10.6555555555556 2.11111111111111 "DTA" 10 "3" 0 0 1 0 0 0 0
"95" "AD0307" 1987 1992 "ABD" 32041 33722 4.60277777777778 1.27777777777778 "DTA" 4 "3" 0 0 1 0 0 0 0
"96" "AD0308" 1987 1993 "ABD" 31908 34129 6.07777777777778 1.63888888888889 "DCC" 6 "3" 0 0 1 0 0 0 0
"97" "AD0310" 1987 1998 "ABD" 32017 35909 10.6555555555556 1.34166666666667 "DTA" 10 "3" 0 0 1 0 0 0 0
"98" "AD0311" 1987 1990 "ABD" 31987 33151 3.18333333333333 1.42222222222222 NA 3 "3" 0 0 1 0 0 0 0
"99" "AD0316" 1987 1992 "ABD" 32119 33933 4.96388888888889 1.06388888888889 "DTA" 4 "3" 0 0 1 0 0 0 0
"100" "AD0318" 1988 1995 "ABD" 32192 35023 7.75277777777778 0.866666666666667 "DTA" 7 "3" 0 0 1 0 0 0 0
"101" "AD0324" 1988 1996 "ABD" 32367 35173 7.68333333333333 0.386111111111111 "DTA" 7 "3" 0 0 1 0 0 0 0
"102" "AD0327" 1990 1996 "ABD" 33065 35145 5.69444444444444 0 "DTA" 5 "1" 1 0 0 0 0 0 0
"103" "AD0328" 1988 1997 "ABD" 32428 35628 8.76388888888889 0.219444444444444 "DTA" 8 "3" 0 0 1 0 0 0 0
"104" "AD0329" 1989 1997 "ABD" 32590 35754 8.65833333333333 0 "DTA" 8 "3" 0 0 1 0 0 0 0
"105" "AD0330" 1989 1999 "ABD" 32864 36392 9.66111111111111 0 "DTA" 9 "3" 0 0 1 0 0 0 0
"106" "AD0331" 1989 1996 "ABD" 32626 35411 7.62222222222222 0 "DTA" 7 "3" 0 0 1 0 0 0 0
"107" "AD0332" 1989 1994 "ABD" 32675 34626 5.34166666666667 0 "DTA" 5 "3" 0 0 1 0 0 0 0
"108" "AD0333" 1989 1996 "ABD" 32581 35383 7.66666666666667 0 "DTA" 7 "3" 0 0 1 0 0 0 0
"109" "AD0342" 1988 1989 "ABD" 32505 32846 0.933333333333333 0.00833333333333333 NA 0 "3" 0 0 1 0 0 0 0
"110" "AD0343" 1989 1993 "ABD" 32667 34137 4.025 0 "DCC" 4 "3" 0 0 1 0 0 0 0
"111" "AD0344" 1989 1989 "ABD" 32540 32862 0.886111111111111 0 NA 0 "3" 0 0 1 0 0 0 0
"112" "AD0345" 1989 1998 "ABD" 32667 35838 8.67777777777778 0 "DTA" 8 "3" 0 0 1 0 0 0 0
"113" "AD0346" 1989 NA "ACT" 32707 NA 11.4472222222222 0 "IPSN" 11 "5" 0 0 0 0 1 0 0
"114" "AD0347" 1989 1996 "ABD" 32581 35411 7.74444444444444 0 "DTA" 7 "3" 0 0 1 0 0 0 0
"115" "AD0348" 1989 1997 "ABD" 32701 35754 8.35555555555556 0 "DTA" 8 "3" 0 0 1 0 0 0 0
"116" "AD0349" 1989 2000 "ABD" 32603 36573 10.8666666666667 0 "IPSN" 10 "3" 0 0 1 0 0 0 0
"117" "AD0350" 1975 1990 "ABD" 27670 33039 14.7 13.2444444444444 NA 14 "3" 0 0 1 0 0 0 0
"118" "AD0351" 1976 1996 "EXP" 27782 35087 20 12.9388888888889 "IPSN" 20 "4" 0 0 0 1 0 0 0
"119" "AD0352" 1978 1996 "EXP" 28496 35087 18.0472222222222 10.9861111111111 "IPSN" 18 "4" 0 0 0 1 0 0 0
"120" "AD0353" 1976 1990 "ABD" 27809 33165 14.6666666666667 12.8666666666667 NA 14 "3" 0 0 1 0 0 0 0
"121" "AD0356" 1979 1990 "ABD" 28928 33217 11.7388888888889 9.79722222222222 "DTA" 11 "3" 0 0 1 0 0 0 0
"122" "AD0357" 1979 1990 "ABD" 29130 33039 10.7027777777778 9.24722222222222 NA 10 "3" 0 0 1 0 0 0 0
"123" "AD0358" 1981 1998 "ABD" 29679 36146 17.7055555555556 7.74444444444444 "IPSN" 17 "3" 0 0 1 0 0 0 0
"124" "AD0359" 1981 1989 "ABD" 29872 32680 7.68888888888889 7.21666666666667 NA 7 "3" 0 0 1 0 0 0 0
"125" "AD0360" 1982 1999 "ABD" 30222 36300 16.6444444444444 6.25833333333333 "IPSN" 16 "3" 0 0 1 0 0 0 0
"126" "AD0361" 1984 1991 "ABD" 30880 33354 6.775 4.45555555555556 "DTA" 6 "3" 0 0 1 0 0 0 0
"127" "AD0362" 1985 1991 "ABD" 31323 33339 5.52222222222222 3.24444444444444 "IPSN" 5 "3" 0 0 1 0 0 0 0
"128" "AD0364" 1988 1993 "ABD" 32507 34243 4.75277777777778 0.00277777777777778 "DTA" 4 "3" 0 0 1 0 0 0 0
"129" "AD0365" 1989 1996 "ABD" 32626 35110 6.79722222222222 0 "DTA" 6 "3" 0 0 1 0 0 0 0
"130" "AD0370" 1990 2000 "ABD" 32912 36818 10.6972222222222 0 "DTA" 10 "1" 1 0 0 0 0 0 0
"131" "AD0373" 1989 1995 "ABD" 32815 34900 5.71388888888889 0 "DTA" 5 "3" 0 0 1 0 0 0 0
"132" "AD0374" 1990 NA "ACT" 32959 NA 10.7555555555556 0 "DTA" 10 "2" 0 1 0 0 0 0 0
"133" "AD0375" 1989 1996 "ABD" 32864 35299 6.66666666666667 0 "DTA" 6 "3" 0 0 1 0 0 0 0
"134" "AD0379" 1990 1991 "ABD" 32968 33529 1.53611111111111 0 "DCC" 1 "1" 1 0 0 0 0 0 0
"135" "AD0380" 1990 1999 "ABD" 33205 36454 8.89722222222222 0 "DTA" 8 "1" 1 0 0 0 0 0 0
"136" "AD0381" 1990 1997 "ABD" 33058 35502 6.69166666666667 0 "DTA" 6 "1" 1 0 0 0 0 0 0
"137" "AD0383" 1990 1996 "ABD" 33058 35341 6.24722222222222 0 "DTA" 6 "1" 1 0 0 0 0 0 0
"138" "AD0386" 1990 1994 "ABD" 33193 34568 3.76666666666667 0 "IPSN" 3 "1" 1 0 0 0 0 0 0
"139" "AD0388" 1991 1994 "ABD" 33310 34659 3.68888888888889 0 "DTA" 3 "1" 1 0 0 0 0 0 0
"140" "AD0390" 1991 NA "ACT" 33539 NA 9.16944444444444 0 "DTA" 9 "2" 0 1 0 0 0 0 0
"141" "AD0391" 1991 1998 "ABD" 33247 36055 7.68888888888889 0 "DTA" 7 "1" 1 0 0 0 0 0 0
